model,threshold_bp,threshold,net_benefit,net_benefit_ci_low,net_benefit_ci_high,n_folds,endpoint,stage
real_only,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,raw
real_only,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,raw
real_only,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,raw
real_only,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,raw
real_only,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,raw
real_only,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,raw
real_only,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,raw
real_only,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,raw
real_only,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,raw
real_only,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,raw
real_only,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,raw
real_only,1200,0.12,0.6371596394360513,0.6317974108199722,0.6433144106745836,5,any_abnormal,raw
real_only,1300,0.13,0.6329890605789943,0.6275651971512364,0.6392145763145214,5,any_abnormal,raw
real_only,1400,0.14,0.6287214915159594,0.6232345599088088,0.6350193969693413,5,any_abnormal,raw
real_only,1500,0.15,0.624353509063206,0.6188020253195007,0.6307255075219218,5,any_abnormal,raw
real_only,1600,0.16,0.6198918202565865,0.6142691008065231,0.6263293826114685,5,any_abnormal,raw
real_only,1700,0.17,0.6152698835829087,0.6096005805501448,0.6218273269802814,5,any_abnormal,raw
real_only,1800,0.18,0.6103506917993444,0.6040363496334527,0.6172154651141872,5,any_abnormal,raw
real_only,1900,0.19,0.6046161986538461,0.5949898741396534,0.6124897301155969,5,any_abnormal,raw
real_only,2000,0.2,0.5992814396401265,0.5881611708303818,0.607645851742042,5,any_abnormal,raw
real_only,2100,0.21,0.5935284293627403,0.5798852156258126,0.602679343536245,5,any_abnormal,raw
real_only,2200,0.22,0.587439460743973,0.5705490527835839,0.5975854889661969,5,any_abnormal,raw
real_only,2300,0.23,0.5814877995369755,0.5622999731889222,0.5923593264852384,5,any_abnormal,raw
real_only,2400,0.24,0.5746329180187739,0.5504741231369169,0.5869956334126757,5,any_abnormal,raw
real_only,2500,0.25,0.568160852557502,0.5408781751218931,0.5814889085248447,5,any_abnormal,raw
real_only,2600,0.26,0.5612977086128973,0.5300501670821598,0.5758333532346399,5,any_abnormal,raw
real_only,2700,0.27,0.554914253639885,0.5219302426943457,0.5700228512241555,5,any_abnormal,raw
real_only,2800,0.28,0.5476329544892096,0.510342397923457,0.5640509463800466,5,any_abnormal,raw
real_only,2900,0.29,0.5401937376980286,0.4988836647098023,0.5579108188642726,5,any_abnormal,raw
real_only,3000,0.3,0.5322007513361202,0.4859024953080613,0.5515952591337623,5,any_abnormal,raw
real_only,3100,0.31,0.524434241790867,0.474418034612976,0.5450966397009183,5,any_abnormal,raw
real_only,3200,0.32,0.5154029809328377,0.4596275801366793,0.5383703283046862,5,any_abnormal,raw
real_only,3300,0.33,0.5059237821423272,0.4455779856931703,0.5314863823967857,5,any_abnormal,raw
real_only,3400,0.34,0.4968926657491909,0.4324937857953259,0.5243373362800544,5,any_abnormal,raw
real_only,3500,0.35,0.4874323903018849,0.4192680631913271,0.5169633312567654,5,any_abnormal,raw
real_only,3600,0.36,0.4776104613800506,0.4090731276061254,0.5094610569093816,5,any_abnormal,raw
real_only,3700,0.37,0.4676466911965425,0.3953594175099173,0.5016151095318887,5,any_abnormal,raw
real_only,3800,0.38,0.4569066358982597,0.3853814574962302,0.4934384943205575,5,any_abnormal,raw
real_only,3900,0.39,0.4452798334809221,0.3752255704040999,0.4851005434232828,5,any_abnormal,raw
real_only,4000,0.4,0.432238606074326,0.365657930289111,0.4765188858136709,5,any_abnormal,raw
real_only,4100,0.41,0.420283175128288,0.3558886970539341,0.4675405354658328,5,any_abnormal,raw
real_only,4200,0.42,0.4075669677447948,0.3460765113985213,0.4579049915478373,5,any_abnormal,raw
real_only,4300,0.43,0.3958545780240344,0.3344373497916637,0.4480228058516857,5,any_abnormal,raw
real_only,4400,0.44,0.3843645858001437,0.3238699965260354,0.4366872957220161,5,any_abnormal,raw
real_only,4500,0.45,0.3752040785842461,0.3196015818820466,0.4248904632322627,5,any_abnormal,raw
real_only,4600,0.46,0.3653580070208008,0.3124761075585177,0.4141191361585849,5,any_abnormal,raw
real_only,4700,0.47,0.3539749167121473,0.3029354636431764,0.400628739479565,5,any_abnormal,raw
real_only,4800,0.48,0.3435006687522223,0.2954108037328788,0.3909359362896245,5,any_abnormal,raw
real_only,4900,0.49,0.3306934830629857,0.2878533093864402,0.378389943880018,5,any_abnormal,raw
real_only,5000,0.5,0.3177866172035315,0.2796080460357682,0.36718042603533,5,any_abnormal,raw
rla_selected,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,raw
