pool_tag,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
latent_ddpm__y,100.0,100.0,1.0,0.0011583713024851253,0.0005805687403898085,-0.02313956993101091,0.0261909756118094,0.46,0.25,0.46,0.25,-0.04633632106421426,0.07612036408339568
ddpm_unet__y,100.0,100.0,1.0,-0.00041393765659190424,-0.0005106753794770907,-0.019960189533333474,0.015024310584611332,0.51,0.24,0.51,0.24,-0.04561716919974654,0.07535305577192886
rf_unet__y,100.0,100.0,1.0,-0.0008368219020777521,-0.001920737581280807,-0.019585314158920036,0.017518157170305842,0.51,0.24,0.51,0.24,-0.07692764365184473,0.0643589446689316
ddpm_unet__uncond,100.0,100.0,1.0,-0.0013802869644010329,-0.0008170684340815526,-0.022292610601800666,0.02640026615524064,0.53,0.21,0.53,0.21,-0.09872450925570392,0.0674523489790601
dit_ddpm__y,100.0,100.0,1.0,-0.0016378210910556812,-0.003117769248180413,-0.01640777594257086,0.013259552003469965,0.59,0.29,0.59,0.29,-0.060326618509392665,0.10934961986924285
rf_unet__uncond,100.0,100.0,1.0,-0.0023905403764572074,-0.0017833064470820503,-0.026564840011723496,0.02138821696700313,0.56,0.31,0.56,0.31,-0.07762132292593443,0.07991368948367622
latent_ddpm__uncond,100.0,100.0,1.0,-0.0027623851513383126,-0.0032613555614065676,-0.02574968146242889,0.014683153922481823,0.58,0.31,0.58,0.31,-0.04688270341555034,0.07141952503033644
edm_unet__uncond,100.0,100.0,1.0,-0.0034093885077597203,-0.0020391536887836154,-0.029316407280886043,0.014627297915779604,0.55,0.29,0.55,0.29,-0.06256323010954867,0.061364975865010496
edm_unet__y,100.0,100.0,1.0,-0.0037845249628883156,-0.0017063996444679486,-0.025462522474907975,0.011341381651617674,0.58,0.27,0.58,0.27,-0.08857213438408046,0.06675824721042423
dit_ddpm__uncond,100.0,100.0,1.0,-0.004466523364972832,-0.0027975048633282623,-0.024396325332052198,0.012489833587642588,0.58,0.3,0.58,0.3,-0.08131346982756804,0.06630357689543828
