pool_tag,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
ddpm_unet__uncond,100.0,28.0,0.28,0.0071430459250622766,0.0,0.0,0.021368862088344893,0.03,0.0,0.10714285714285714,0.0,-0.006095274144813562,0.10479837770820027
latent_ddpm__y,100.0,19.0,0.19,0.006288298404203443,0.0,0.0,0.022236642173211377,0.0,0.0,0.0,0.0,0.0,0.11330304404704314
dit_ddpm__y,100.0,27.0,0.27,0.006186838454171892,0.0,0.0,0.023962109756912868,0.01,0.0,0.037037037037037035,0.0,-0.0036237690814243106,0.06939673514342898
rf_unet__y,100.0,18.0,0.18,0.005236903270464415,0.0,0.0,0.016955306095672844,0.01,0.0,0.05555555555555555,0.0,-0.0006065769773980212,0.07995670413131045
ddpm_unet__y,100.0,17.0,0.17,0.004907886040063223,0.0,0.0,0.012460733162548556,0.01,0.0,0.058823529411764705,0.0,-0.001306997800086751,0.07814541406729231
latent_ddpm__uncond,100.0,24.0,0.24,0.004853314791141635,0.0,0.0,0.016930826869470495,0.0,0.0,0.0,0.0,0.0,0.08562888356409848
edm_unet__y,100.0,19.0,0.19,0.004577723894763677,0.0,0.0,0.017896253683696677,0.0,0.0,0.0,0.0,0.0,0.053384821859902676
rf_unet__uncond,100.0,15.0,0.15,0.003202581549271008,0.0,0.0,0.009340307829635021,0.0,0.0,0.0,0.0,0.0,0.04869980862321677
dit_ddpm__uncond,100.0,12.0,0.12,0.003078919511204945,0.0,0.0,0.010957921921195417,0.0,0.0,0.0,0.0,0.0,0.08038671246001139
edm_unet__uncond,100.0,13.0,0.13,0.002631881527623091,0.0,0.0,0.0053740155517064585,0.01,0.0,0.07692307692307693,0.0,-0.005162545733959467,0.06844659500824912
