pool_tag,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
latent_ddpm__y,100.0,69.0,0.69,0.009256548507153135,0.004659000749961617,-0.000881513887597623,0.02455341105357644,0.13,0.02,0.18840579710144928,0.028985507246376812,-0.01768755425322019,0.08494042227689591
ddpm_unet__uncond,100.0,63.0,0.63,0.008496737358031524,0.0,-0.002700501983692388,0.022860369852232856,0.15,0.02,0.23809523809523808,0.031746031746031744,-0.018691083777164635,0.11982730025447924
dit_ddpm__uncond,100.0,55.0,0.55,0.008477330884422507,0.0,-9.279288935345177e-05,0.02643142333578286,0.11,0.0,0.2,0.0,-0.008982764447563352,0.09335547399051525
ddpm_unet__y,100.0,67.0,0.67,0.007815902438533586,0.0009195491442502424,-0.003736685197384809,0.02358674461273039,0.16,0.05,0.23880597014925373,0.07462686567164178,-0.024859417865698646,0.07576611251134668
rf_unet__y,100.0,67.0,0.67,0.007689180923387482,0.00240743377250989,-0.0006122653508723759,0.023681215732478396,0.12,0.08,0.1791044776119403,0.11940298507462686,-0.017587197727121417,0.06280750482190589
rf_unet__uncond,100.0,58.0,0.58,0.006953219989210988,0.0,-0.0013508125664903224,0.022173707197265177,0.13,0.01,0.22413793103448276,0.017241379310344827,-0.011310168087085293,0.107157316027502
dit_ddpm__y,100.0,58.0,0.58,0.006690038665447373,0.0,-0.0015014017809240276,0.02393135903717628,0.15,0.03,0.25862068965517243,0.05172413793103448,-0.035197991447299015,0.09455063426984078
latent_ddpm__uncond,100.0,55.0,0.55,0.00655579139033101,0.0,-0.0016233941324919677,0.02591138754920357,0.13,0.03,0.23636363636363636,0.05454545454545454,-0.015708872875468738,0.08850871275649463
edm_unet__uncond,100.0,58.0,0.58,0.005064681601733243,0.0,-0.0027677738083726725,0.021278254893419998,0.17,0.05,0.29310344827586204,0.08620689655172414,-0.013882981715294507,0.06730056156676945
edm_unet__y,100.0,47.0,0.47,0.004916318294556603,0.0,-4.883612381734164e-06,0.017074138526646295,0.1,0.05,0.2127659574468085,0.10638297872340426,-0.022125549560273905,0.09417001470563097
