fold,model,stage,auroc,auprc,brier,ece15,calibration_intercept,calibration_slope,temperature
0,real_only,raw,0.7274117469720809,0.8620168491048235,0.228568522728467,0.195494059766186,0.9990214705467224,1.0566444396972656,
0,rla_selected,raw,0.8294470675256469,0.9149645875328829,0.15658763533784906,0.03768364778727139,0.11963130533695221,1.174430012702942,
0,real_only,calibrated,0.7274117469720809,0.8620168491048235,0.22745770323568737,0.1940904945956669,0.9992016553878784,1.1040997505187988,1.0449461936950684
0,rla_selected,calibrated,0.8294470675256469,0.9149645875328829,0.1574013286508551,0.04748576527765172,0.11959759145975113,1.2811037302017212,1.0914623737335205
1,real_only,raw,0.7057125006900619,0.8505511456293977,0.21644489323409494,0.15673163831153453,0.7613399624824524,1.457829236984253,
1,rla_selected,raw,0.8157120698221458,0.9060544307583217,0.17424663676459173,0.10891728390635302,0.6387187242507935,1.3429943323135376,
1,real_only,calibrated,0.7057125006900619,0.8505511456293977,0.216496936256307,0.15475681492880514,0.7614656090736389,1.1204499006271362,0.7679699659347534
1,rla_selected,calibrated,0.8157120698221458,0.9060544307583217,0.17388744243819734,0.10793567835330185,0.6385709643363953,1.275337815284729,0.949643075466156
2,real_only,raw,0.7073717985450491,0.8470857342335854,0.1929886321445081,0.02833048037437771,0.14885146915912628,0.9272068738937378,
2,rla_selected,raw,0.7693415372916286,0.883124397723316,0.21212658801307016,0.17616340347284629,1.0127509832382202,1.3789160251617432,
2,real_only,calibrated,0.7073717985450491,0.8470857342335854,0.19449246674499726,0.049926952873764724,0.15045416355133057,1.2306363582611084,1.3304532766342163
2,rla_selected,calibrated,0.7693415372916286,0.883124397723316,0.21346371326916316,0.1788748674373543,1.0135048627853394,1.2569427490234375,0.9109745025634766
3,real_only,raw,0.6947522909101581,0.8372056914069353,0.21678916939581572,0.14206704420012398,0.6585949063301086,1.3758010864257812,
3,rla_selected,raw,0.798746889901254,0.8968116974339007,0.21785142346809921,0.20504496236105219,1.2544807195663452,1.221567988395691,
3,real_only,calibrated,0.6947522909101581,0.8372056914069353,0.2161251409054916,0.1386673626704282,0.6583118438720703,1.1246559619903564,0.8169711232185364
3,rla_selected,calibrated,0.798746889901254,0.8968116974339007,0.21443428476733464,0.19878913599479725,1.253625750541687,1.371530532836914,1.1233305931091309
4,real_only,raw,0.6468130600054303,0.8068079000146198,0.21847513853932624,0.1223893322010298,0.37357327342033386,1.8051340579986572,
4,rla_selected,raw,0.7717692777626934,0.8902101551404977,0.18230615335446723,0.08786968406793233,0.47653666138648987,1.0612635612487793,
4,real_only,calibrated,0.6468130600054303,0.8068079000146198,0.209960283958472,0.08608503609122123,0.3718833029270172,1.082833170890808,0.5987603664398193
4,rla_selected,calibrated,0.7717692777626934,0.8902101551404977,0.1823274164973561,0.08874099029428202,0.476879745721817,1.084963321685791,1.022328495979309
ALL,real_only,calibrated,0.6964122794245561,0.8407334640778723,0.21290650622019106,0.12470533223197725,0.588263314962387,1.1325350284576416,
ALL,rla_selected,calibrated,0.7970033684606738,0.8982330537177837,0.18830283712458126,0.12436528747147743,0.700435782968998,1.2539756298065186,
ALL,real_only,raw,0.6964122794245561,0.8407334640778723,0.2146532712084424,0.1290025109706504,0.5882762163877487,1.324523138999939,
ALL,rla_selected,raw,0.7970033684606738,0.8982330537177837,0.18862368738761548,0.12313579631909104,0.7004236787557602,1.2358343839645385,
