stage,model,bin,bin_left,bin_right,count,mean_prob,frac_pos
calibrated,real_only,0,0.0,0.0666666666666666,0,,
calibrated,real_only,1,0.0666666666666666,0.1333333333333333,0,,
calibrated,real_only,2,0.1333333333333333,0.2,59,0.1916564701540106,0.4915254237288136
calibrated,real_only,3,0.2,0.2666666666666666,520,0.24046471552274495,0.4269230769230769
calibrated,real_only,4,0.2666666666666666,0.3333333333333333,1292,0.30366434021083494,0.49613003095975233
calibrated,real_only,5,0.3333333333333333,0.4,2135,0.3678067825757687,0.5667447306791569
calibrated,real_only,6,0.4,0.4666666666666667,2511,0.4343552264507773,0.5567502986857825
calibrated,real_only,7,0.4666666666666667,0.5333333333333333,2675,0.49979749122548134,0.6269158878504673
calibrated,real_only,8,0.5333333333333333,0.6,2366,0.5660329808227215,0.6673710904480136
calibrated,real_only,9,0.6,0.6666666666666666,1898,0.6319638459899567,0.7270811380400422
calibrated,real_only,10,0.6666666666666666,0.7333333333333333,1495,0.6994147857897375,0.7866220735785954
calibrated,real_only,11,0.7333333333333333,0.8,1185,0.7655063034010353,0.8607594936708861
calibrated,real_only,12,0.8,0.8666666666666667,1139,0.8326585497830333,0.9244951712028094
calibrated,real_only,13,0.8666666666666667,0.9333333333333332,1114,0.89697124580069,0.9838420107719928
calibrated,real_only,14,0.9333333333333332,1.0,114,0.9423717989998978,1.0
calibrated,rla_selected,0,0.0,0.0666666666666666,0,,
calibrated,rla_selected,1,0.0666666666666666,0.1333333333333333,2,0.1250425685922422,0.0
calibrated,rla_selected,2,0.1333333333333333,0.2,177,0.18265837690102601,0.29378531073446323
calibrated,rla_selected,3,0.2,0.2666666666666666,1442,0.24007812934892955,0.3488210818307905
calibrated,rla_selected,4,0.2666666666666666,0.3333333333333333,2608,0.3015894366741191,0.43328220858895705
calibrated,rla_selected,5,0.3333333333333333,0.4,2424,0.36545773882092686,0.5148514851485149
calibrated,rla_selected,6,0.4,0.4666666666666667,1834,0.4325885256077719,0.6128680479825518
calibrated,rla_selected,7,0.4666666666666667,0.5333333333333333,1357,0.498237059999759,0.6588061901252763
calibrated,rla_selected,8,0.5333333333333333,0.6,1100,0.5658322095787426,0.7372727272727273
calibrated,rla_selected,9,0.6,0.6666666666666666,1063,0.6325894848968223,0.7855126999059266
calibrated,rla_selected,10,0.6666666666666666,0.7333333333333333,989,0.699159540126652,0.8351870576339737
calibrated,rla_selected,11,0.7333333333333333,0.8,926,0.7674420024965355,0.8671706263498921
calibrated,rla_selected,12,0.8,0.8666666666666667,1223,0.8341867869375853,0.9035159443990188
calibrated,rla_selected,13,0.8666666666666667,0.9333333333333332,1867,0.9031894321281418,0.9566148901981789
calibrated,rla_selected,14,0.9333333333333332,1.0,1491,0.9537541245254948,0.9912810194500336
raw,real_only,0,0.0,0.0666666666666666,0,,
raw,real_only,1,0.0666666666666666,0.1333333333333333,0,,
raw,real_only,2,0.1333333333333333,0.2,97,0.1869924368010354,0.4432989690721649
raw,real_only,3,0.2,0.2666666666666666,498,0.2369090247166204,0.4357429718875502
raw,real_only,4,0.2666666666666666,0.3333333333333333,917,0.30707456699634456,0.5179934569247546
raw,real_only,5,0.3333333333333333,0.4,2010,0.3702651600191249,0.5318407960199005
raw,real_only,6,0.4,0.4666666666666667,2764,0.435423333160094,0.5643994211287988
raw,real_only,7,0.4666666666666667,0.5333333333333333,3187,0.5002687804501447,0.6247254471289614
raw,real_only,8,0.5333333333333333,0.6,2733,0.5652369257516578,0.6897182583241859
raw,real_only,9,0.6,0.6666666666666666,1847,0.6314817821908526,0.7563616675690309
raw,real_only,10,0.6666666666666666,0.7333333333333333,1242,0.6977596606417362,0.8156199677938808
raw,real_only,11,0.7333333333333333,0.8,1056,0.7664173337433374,0.8579545454545454
raw,real_only,12,0.8,0.8666666666666667,946,0.8348183233692581,0.9312896405919662
raw,real_only,13,0.8666666666666667,0.9333333333333332,936,0.8971505103330327,0.9551282051282052
raw,real_only,14,0.9333333333333332,1.0,270,0.948256410713549,0.9777777777777777
raw,rla_selected,0,0.0,0.0666666666666666,0,,
raw,rla_selected,1,0.0666666666666666,0.1333333333333333,10,0.11902204304933542,0.0
raw,rla_selected,2,0.1333333333333333,0.2,372,0.17609550050830328,0.314516129032258
raw,rla_selected,3,0.2,0.2666666666666666,1329,0.23812113299775245,0.3717080511662904
raw,rla_selected,4,0.2666666666666666,0.3333333333333333,2459,0.30124956575434786,0.4261895079300529
raw,rla_selected,5,0.3333333333333333,0.4,2490,0.3652264461340195,0.51285140562249
raw,rla_selected,6,0.4,0.4666666666666667,1825,0.43226798758114854,0.6120547945205479
raw,rla_selected,7,0.4666666666666667,0.5333333333333333,1345,0.49783398901219705,0.6617100371747212
raw,rla_selected,8,0.5333333333333333,0.6,1086,0.5653733226914871,0.7348066298342542
raw,rla_selected,9,0.6,0.6666666666666666,1065,0.6330450234278827,0.7924882629107981
raw,rla_selected,10,0.6666666666666666,0.7333333333333333,971,0.6997810447498404,0.8259526261585994
raw,rla_selected,11,0.7333333333333333,0.8,898,0.7683560878104781,0.8652561247216035
raw,rla_selected,12,0.8,0.8666666666666667,1188,0.8348880429761578,0.8956228956228957
raw,rla_selected,13,0.8666666666666667,0.9333333333333332,1798,0.9029345557143346,0.9532814238042269
raw,rla_selected,14,0.9333333333333332,1.0,1667,0.9544290006339514,0.9916016796640672
